GLOBALTIME -> ID  -- Machines Assigned
       840 -> 92 -- Machine_20 (S: 0 , CT: 7666) 
       840 -> 75 -- Machine_21 (S: 0 , CT: 7734) 
       840 -> 45 -- Machine_22 (S: 0 , CT: 7868) 
       840 -> 8 -- Machine_23 (S: 0 , CT: 8172) 
       840 -> 99 -- Machine_24 (S: 0 , CT: 9143) 
GLOBALTIME -> ID  -- Machines Assigned
       900 -> 79 -- Machine_0 (S: 0 , CT: 8292) 
       900 -> 98 -- Machine_1 (S: 0 , CT: 8149) 
       900 -> 74 -- Machine_2 (S: 0 , CT: 7483) 
       900 -> 76 -- Machine_3 (S: 0 , CT: 8648) 
       900 -> 54 -- Machine_4 (S: 0 , CT: 7826) 
       900 -> 77 -- Machine_5 (S: 0 , CT: 8399) 
       900 -> 56 -- Machine_6 (S: 0 , CT: 7954) 
       900 -> 32 -- Machine_7 (S: 0 , CT: 8228) 
       900 -> 68 -- Machine_8 (S: 0 , CT: 7918) 
       900 -> 91 -- Machine_9 (S: 0 , CT: 7632) 
       900 -> 57 -- Machine_10 (S: 0 , CT: 8977) 
       900 -> 71 -- Machine_11 (S: 0 , CT: 8009) 
       900 -> 87 -- Machine_12 (S: 0 , CT: 7699) 
       900 -> 73 -- Machine_13 (S: 0 , CT: 8667) 
       900 -> 14 -- Machine_14 (S: 0 , CT: 7236) 
       900 -> 94 -- Machine_15 (S: 0 , CT: 7696) 
       900 -> 35 -- Machine_16 (S: 0 , CT: 7889) 
       900 -> 38 -- Machine_17 (S: 0 , CT: 8519) 
       900 -> 15 -- Machine_18 (S: 0 , CT: 8913) 
       900 -> 17 -- Machine_19 (S: 0 , CT: 7792) 
       900 -> 92 -- Machine_20 (S: 0 , CT: 7666) 
       900 -> 75 -- Machine_21 (S: 0 , CT: 7734) 
       900 -> 45 -- Machine_22 (S: 0 , CT: 7868) 
       900 -> 8 -- Machine_23 (S: 0 , CT: 8172) 
       900 -> 99 -- Machine_24 (S: 0 , CT: 9143) 
GLOBALTIME -> ID  -- Machines Assigned
       960 -> 79 -- Machine_0 (S: 0 , CT: 8292) 
       960 -> 98 -- Machine_1 (S: 0 , CT: 8149) 
       960 -> 74 -- Machine_2 (S: 0 , CT: 7483) 
       960 -> 76 -- Machine_3 (S: 0 , CT: 8648) 
       960 -> 54 -- Machine_4 (S: 0 , CT: 7826) 
       960 -> 77 -- Machine_5 (S: 0 , CT: 8399) 
       960 -> 56 -- Machine_6 (S: 0 , CT: 7954) 
       960 -> 32 -- Machine_7 (S: 0 , CT: 8228) 
       960 -> 68 -- Machine_8 (S: 0 , CT: 7918) 
       960 -> 91 -- Machine_9 (S: 0 , CT: 7632) 
       960 -> 57 -- Machine_10 (S: 0 , CT: 8977) 
       960 -> 71 -- Machine_11 (S: 0 , CT: 8009) 
       960 -> 87 -- Machine_12 (S: 0 , CT: 7699) 
       960 -> 73 -- Machine_13 (S: 0 , CT: 8667) 
       960 -> 14 -- Machine_14 (S: 0 , CT: 7236) 
       960 -> 94 -- Machine_15 (S: 0 , CT: 7696) 
       960 -> 35 -- Machine_16 (S: 0 , CT: 7889) 
       960 -> 38 -- Machine_17 (S: 0 , CT: 8519) 
       960 -> 15 -- Machine_18 (S: 0 , CT: 8913) 
       960 -> 17 -- Machine_19 (S: 0 , CT: 7792) 
       960 -> 92 -- Machine_20 (S: 0 , CT: 7666) 
       960 -> 75 -- Machine_21 (S: 0 , CT: 7734) 
       960 -> 45 -- Machine_22 (S: 0 , CT: 7868) 
