GLOBALTIME -> ID  -- Machines Assigned
       600 -> 36 -- Machine_24 (S: 0 , CT: 8354) 
GLOBALTIME -> ID  -- Machines Assigned
       660 -> 91 -- Machine_0 (S: 0 , CT: 8910) 
       660 -> 92 -- Machine_1 (S: 0 , CT: 8065) 
       660 -> 95 -- Machine_2 (S: 0 , CT: 8204) 
       660 -> 98 -- Machine_3 (S: 0 , CT: 8034) 
       660 -> 73 -- Machine_4 (S: 0 , CT: 7835) 
       660 -> 32 -- Machine_5 (S: 0 , CT: 8559) 
       660 -> 58 -- Machine_6 (S: 0 , CT: 7962) 
       660 -> 71 -- Machine_7 (S: 0 , CT: 8132) 
       660 -> 55 -- Machine_8 (S: 0 , CT: 7694) 
       660 -> 87 -- Machine_9 (S: 0 , CT: 7330) 
       660 -> 57 -- Machine_10 (S: 0 , CT: 9305) 
       660 -> 29 -- Machine_11 (S: 0 , CT: 8014) 
       660 -> 59 -- Machine_12 (S: 0 , CT: 7494) 
       660 -> 18 -- Machine_13 (S: 0 , CT: 8413) 
       660 -> 97 -- Machine_14 (S: 0 , CT: 7273) 
       660 -> 38 -- Machine_15 (S: 0 , CT: 7427) 
       660 -> 15 -- Machine_16 (S: 0 , CT: 7765) 
       660 -> 75 -- Machine_17 (S: 0 , CT: 8296) 
       660 -> 17 -- Machine_18 (S: 0 , CT: 8710) 
       660 -> 8 -- Machine_19 (S: 0 , CT: 7824) 
       660 -> 99 -- Machine_20 (S: 0 , CT: 7782) 
       660 -> 56 -- Machine_21 (S: 0 , CT: 7919) 
       660 -> 23 -- Machine_22 (S: 0 , CT: 7813) 
       660 -> 10 -- Machine_23 (S: 0 , CT: 7971) 
       660 -> 36 -- Machine_24 (S: 0 , CT: 8354) 
GLOBALTIME -> ID  -- Machines Assigned
       720 -> 91 -- Machine_0 (S: 0 , CT: 8910) 
       720 -> 92 -- Machine_1 (S: 0 , CT: 8065) 
       720 -> 95 -- Machine_2 (S: 0 , CT: 8204) 
       720 -> 98 -- Machine_3 (S: 0 , CT: 8034) 
       720 -> 73 -- Machine_4 (S: 0 , CT: 7835) 
       720 -> 32 -- Machine_5 (S: 0 , CT: 8559) 
       720 -> 58 -- Machine_6 (S: 0 , CT: 7962) 
       720 -> 71 -- Machine_7 (S: 0 , CT: 8132) 
