GLOBALTIME -> ID  -- Machines Assigned
       600 -> 57 -- Machine_6 (S: 0 , CT: 7777) 
       600 -> 92 -- Machine_7 (S: 0 , CT: 7996) 
       600 -> 59 -- Machine_8 (S: 0 , CT: 7657) 
       600 -> 87 -- Machine_9 (S: 0 , CT: 7005) 
       600 -> 27 -- Machine_10 (S: 0 , CT: 8750) 
       600 -> 95 -- Machine_11 (S: 0 , CT: 7890) 
       600 -> 99 -- Machine_12 (S: 0 , CT: 7935) 
       600 -> 73 -- Machine_13 (S: 0 , CT: 8394) 
       600 -> 30 -- Machine_14 (S: 0 , CT: 7504) 
       600 -> 37 -- Machine_15 (S: 0 , CT: 7883) 
       600 -> 54 -- Machine_16 (S: 0 , CT: 7912) 
       600 -> 15 -- Machine_17 (S: 0 , CT: 8719) 
       600 -> 18 -- Machine_18 (S: 0 , CT: 8809) 
       600 -> 75 -- Machine_19 (S: 0 , CT: 8105) 
       600 -> 56 -- Machine_20 (S: 0 , CT: 7929) 
       600 -> 97 -- Machine_21 (S: 0 , CT: 7748) 
       600 -> 36 -- Machine_22 (S: 0 , CT: 8563) 
       600 -> 79 -- Machine_23 (S: 0 , CT: 8420) 
       600 -> 33 -- Machine_24 (S: 0 , CT: 8614) 
GLOBALTIME -> ID  -- Machines Assigned
       660 -> 58 -- Machine_0 (S: 0 , CT: 8173) 
       660 -> 98 -- Machine_1 (S: 0 , CT: 8307) 
       660 -> 55 -- Machine_2 (S: 0 , CT: 7860) 
       660 -> 91 -- Machine_3 (S: 0 , CT: 8192) 
       660 -> 68 -- Machine_4 (S: 0 , CT: 8016) 
       660 -> 72 -- Machine_5 (S: 0 , CT: 8533) 
       660 -> 57 -- Machine_6 (S: 0 , CT: 7777) 
       660 -> 92 -- Machine_7 (S: 0 , CT: 7996) 
       660 -> 59 -- Machine_8 (S: 0 , CT: 7657) 
       660 -> 87 -- Machine_9 (S: 0 , CT: 7005) 
       660 -> 27 -- Machine_10 (S: 0 , CT: 8750) 
       660 -> 95 -- Machine_11 (S: 0 , CT: 7890) 
       660 -> 99 -- Machine_12 (S: 0 , CT: 7935) 
       660 -> 73 -- Machine_13 (S: 0 , CT: 8394) 
       660 -> 30 -- Machine_14 (S: 0 , CT: 7504) 
       660 -> 37 -- Machine_15 (S: 0 , CT: 7883) 
       660 -> 54 -- Machine_16 (S: 0 , CT: 7912) 
       660 -> 15 -- Machine_17 (S: 0 , CT: 8719) 
       660 -> 18 -- Machine_18 (S: 0 , CT: 8809) 
       660 -> 75 -- Machine_19 (S: 0 , CT: 8105) 
       660 -> 56 -- Machine_20 (S: 0 , CT: 7929) 
