GLOBALTIME -> ID  -- Machines Assigned
       720 -> 8 -- Machine_23 (S: 0 , CT: 7968) 
       720 -> 74 -- Machine_24 (S: 0 , CT: 8492) 
GLOBALTIME -> ID  -- Machines Assigned
       780 -> 91 -- Machine_0 (S: 0 , CT: 8478) 
       780 -> 92 -- Machine_1 (S: 0 , CT: 8313) 
       780 -> 58 -- Machine_2 (S: 0 , CT: 7627) 
       780 -> 95 -- Machine_3 (S: 0 , CT: 8452) 
       780 -> 99 -- Machine_4 (S: 0 , CT: 7861) 
       780 -> 55 -- Machine_5 (S: 0 , CT: 8392) 
       780 -> 87 -- Machine_6 (S: 0 , CT: 7589) 
       780 -> 72 -- Machine_7 (S: 0 , CT: 8130) 
       780 -> 97 -- Machine_8 (S: 0 , CT: 7291) 
       780 -> 98 -- Machine_9 (S: 0 , CT: 7078) 
       780 -> 32 -- Machine_10 (S: 0 , CT: 9196) 
       780 -> 54 -- Machine_11 (S: 0 , CT: 7827) 
       780 -> 71 -- Machine_12 (S: 0 , CT: 7519) 
       780 -> 77 -- Machine_13 (S: 0 , CT: 8784) 
       780 -> 37 -- Machine_14 (S: 0 , CT: 7283) 
       780 -> 94 -- Machine_15 (S: 0 , CT: 7890) 
       780 -> 15 -- Machine_16 (S: 0 , CT: 7729) 
       780 -> 38 -- Machine_17 (S: 0 , CT: 8116) 
       780 -> 14 -- Machine_18 (S: 0 , CT: 8751) 
       780 -> 10 -- Machine_19 (S: 0 , CT: 7630) 
       780 -> 17 -- Machine_20 (S: 0 , CT: 8351) 
       780 -> 23 -- Machine_21 (S: 0 , CT: 7614) 
       780 -> 75 -- Machine_22 (S: 0 , CT: 8370) 
       780 -> 8 -- Machine_23 (S: 0 , CT: 7968) 
       780 -> 74 -- Machine_24 (S: 0 , CT: 8492) 
GLOBALTIME -> ID  -- Machines Assigned
       840 -> 91 -- Machine_0 (S: 0 , CT: 8478) 
       840 -> 92 -- Machine_1 (S: 0 , CT: 8313) 
       840 -> 58 -- Machine_2 (S: 0 , CT: 7627) 
       840 -> 95 -- Machine_3 (S: 0 , CT: 8452) 
       840 -> 99 -- Machine_4 (S: 0 , CT: 7861) 
       840 -> 55 -- Machine_5 (S: 0 , CT: 8392) 
       840 -> 87 -- Machine_6 (S: 0 , CT: 7589) 
       840 -> 72 -- Machine_7 (S: 0 , CT: 8130) 
       840 -> 97 -- Machine_8 (S: 0 , CT: 7291) 
       840 -> 98 -- Machine_9 (S: 0 , CT: 7078) 
       840 -> 32 -- Machine_10 (S: 0 , CT: 9196) 
       840 -> 54 -- Machine_11 (S: 0 , CT: 7827) 
       840 -> 71 -- Machine_12 (S: 0 , CT: 7519) 
       840 -> 77 -- Machine_13 (S: 0 , CT: 8784) 
       840 -> 37 -- Machine_14 (S: 0 , CT: 7283) 
       840 -> 94 -- Machine_15 (S: 0 , CT: 7890) 
       840 -> 15 -- Machine_16 (S: 0 , CT: 7729) 
       840 -> 38 -- Machine_17 (S: 0 , CT: 8116) 
       840 -> 14 -- Machine_18 (S: 0 , CT: 8751) 
       840 -> 10 -- Machine_19 (S: 0 , CT: 7630) 
       840 -> 17 -- Machine_20 (S: 0 , CT: 8351) 
       840 -> 23 -- Machine_21 (S: 0 , CT: 7614) 
       840 -> 75 -- Machine_22 (S: 0 , CT: 8370) 
       840 -> 8 -- Machine_23 (S: 0 , CT: 7968) 
       840 -> 74 -- Machine_24 (S: 0 , CT: 8492) 
GLOBALTIME -> ID  -- Machines Assigned
       900 -> 91 -- Machine_0 (S: 0 , CT: 8478) 
       900 -> 92 -- Machine_1 (S: 0 , CT: 8313) 
       900 -> 58 -- Machine_2 (S: 0 , CT: 7627) 
       900 -> 95 -- Machine_3 (S: 0 , CT: 8452) 
       900 -> 99 -- Machine_4 (S: 0 , CT: 7861) 
