GLOBALTIME -> ID  -- Machines Assigned
       420 -> 75 -- Machine_19 (S: 0 , CT: 7603) 
       420 -> 56 -- Machine_20 (S: 0 , CT: 8331) 
       420 -> 97 -- Machine_21 (S: 0 , CT: 8041) 
       420 -> 36 -- Machine_22 (S: 0 , CT: 7864) 
       420 -> 79 -- Machine_23 (S: 0 , CT: 7886) 
       420 -> 33 -- Machine_24 (S: 0 , CT: 8826) 
GLOBALTIME -> ID  -- Machines Assigned
       480 -> 58 -- Machine_0 (S: 0 , CT: 8498) 
       480 -> 98 -- Machine_1 (S: 0 , CT: 8057) 
       480 -> 55 -- Machine_2 (S: 0 , CT: 7594) 
       480 -> 91 -- Machine_3 (S: 0 , CT: 8466) 
       480 -> 68 -- Machine_4 (S: 0 , CT: 8115) 
       480 -> 72 -- Machine_5 (S: 0 , CT: 9029) 
       480 -> 57 -- Machine_6 (S: 0 , CT: 7446) 
       480 -> 92 -- Machine_7 (S: 0 , CT: 8598) 
       480 -> 59 -- Machine_8 (S: 0 , CT: 7383) 
       480 -> 87 -- Machine_9 (S: 0 , CT: 7272) 
       480 -> 27 -- Machine_10 (S: 0 , CT: 8466) 
       480 -> 95 -- Machine_11 (S: 0 , CT: 8365) 
       480 -> 99 -- Machine_12 (S: 0 , CT: 7648) 
       480 -> 73 -- Machine_13 (S: 0 , CT: 8031) 
       480 -> 30 -- Machine_14 (S: 0 , CT: 7203) 
       480 -> 37 -- Machine_15 (S: 0 , CT: 8021) 
       480 -> 54 -- Machine_16 (S: 0 , CT: 7504) 
       480 -> 15 -- Machine_17 (S: 0 , CT: 8588) 
       480 -> 18 -- Machine_18 (S: 0 , CT: 8810) 
       480 -> 75 -- Machine_19 (S: 0 , CT: 7603) 
       480 -> 56 -- Machine_20 (S: 0 , CT: 8331) 
       480 -> 97 -- Machine_21 (S: 0 , CT: 8041) 
       480 -> 36 -- Machine_22 (S: 0 , CT: 7864) 
       480 -> 79 -- Machine_23 (S: 0 , CT: 7886) 
       480 -> 33 -- Machine_24 (S: 0 , CT: 8826) 
GLOBALTIME -> ID  -- Machines Assigned
       540 -> 58 -- Machine_0 (S: 0 , CT: 8498) 
       540 -> 98 -- Machine_1 (S: 0 , CT: 8057) 
       540 -> 55 -- Machine_2 (S: 0 , CT: 7594) 
       540 -> 91 -- Machine_3 (S: 0 , CT: 8466) 
       540 -> 68 -- Machine_4 (S: 0 , CT: 8115) 
       540 -> 72 -- Machine_5 (S: 0 , CT: 9029) 
       540 -> 57 -- Machine_6 (S: 0 , CT: 7446) 
       540 -> 92 -- Machine_7 (S: 0 , CT: 8598) 
       540 -> 59 -- Machine_8 (S: 0 , CT: 7383) 
       540 -> 87 -- Machine_9 (S: 0 , CT: 7272) 
       540 -> 27 -- Machine_10 (S: 0 , CT: 8466) 
       540 -> 95 -- Machine_11 (S: 0 , CT: 8365) 
       540 -> 99 -- Machine_12 (S: 0 , CT: 7648) 
       540 -> 73 -- Machine_13 (S: 0 , CT: 8031) 
       540 -> 30 -- Machine_14 (S: 0 , CT: 7203) 
       540 -> 37 -- Machine_15 (S: 0 , CT: 8021) 
       540 -> 54 -- Machine_16 (S: 0 , CT: 7504) 
       540 -> 15 -- Machine_17 (S: 0 , CT: 8588) 
       540 -> 18 -- Machine_18 (S: 0 , CT: 8810) 
       540 -> 75 -- Machine_19 (S: 0 , CT: 7603) 
       540 -> 56 -- Machine_20 (S: 0 , CT: 8331) 
       540 -> 97 -- Machine_21 (S: 0 , CT: 8041) 
       540 -> 36 -- Machine_22 (S: 0 , CT: 7864) 
       540 -> 79 -- Machine_23 (S: 0 , CT: 7886) 
       540 -> 33 -- Machine_24 (S: 0 , CT: 8826) 
GLOBALTIME -> ID  -- Machines Assigned
       600 -> 58 -- Machine_0 (S: 0 , CT: 8498) 
       600 -> 98 -- Machine_1 (S: 0 , CT: 8057) 
       600 -> 55 -- Machine_2 (S: 0 , CT: 7594) 
       600 -> 91 -- Machine_3 (S: 0 , CT: 8466) 
       600 -> 68 -- Machine_4 (S: 0 , CT: 8115) 
       600 -> 72 -- Machine_5 (S: 0 , CT: 9029) 
       600 -> 57 -- Machine_6 (S: 0 , CT: 7446) 
       600 -> 92 -- Machine_7 (S: 0 , CT: 8598) 
       600 -> 59 -- Machine_8 (S: 0 , CT: 7383) 
       600 -> 87 -- Machine_9 (S: 0 , CT: 7272) 
       600 -> 27 -- Machine_10 (S: 0 , CT: 8466) 
       600 -> 95 -- Machine_11 (S: 0 , CT: 8365) 
       600 -> 99 -- Machine_12 (S: 0 , CT: 7648) 
       600 -> 73 -- Machine_13 (S: 0 , CT: 8031) 
       600 -> 30 -- Machine_14 (S: 0 , CT: 7203) 
       600 -> 37 -- Machine_15 (S: 0 , CT: 8021) 
       600 -> 54 -- Machine_16 (S: 0 , CT: 7504) 
       600 -> 15 -- Machine_17 (S: 0 , CT: 8588) 
       600 -> 18 -- Machine_18 (S: 0 , CT: 8810) 
       600 -> 75 -- Machine_19 (S: 0 , CT: 7603) 
       600 -> 56 -- Machine_20 (S: 0 , CT: 8331) 
       600 -> 97 -- Machine_21 (S: 0 , CT: 8041) 
       600 -> 36 -- Machine_22 (S: 0 , CT: 7864) 
       600 -> 79 -- Machine_23 (S: 0 , CT: 7886) 
       600 -> 33 -- Machine_24 (S: 0 , CT: 8826) 
GLOBALTIME -> ID  -- Machines Assigned
       660 -> 58 -- Machine_0 (S: 0 , CT: 8498) 
       660 -> 98 -- Machine_1 (S: 0 , CT: 8057) 
       660 -> 55 -- Machine_2 (S: 0 , CT: 7594) 
       660 -> 91 -- Machine_3 (S: 0 , CT: 8466) 
       660 -> 68 -- Machine_4 (S: 0 , CT: 8115) 
       660 -> 72 -- Machine_5 (S: 0 , CT: 9029) 
       660 -> 57 -- Machine_6 (S: 0 , CT: 7446) 
       660 -> 92 -- Machine_7 (S: 0 , CT: 8598) 
       660 -> 59 -- Machine_8 (S: 0 , CT: 7383) 
       660 -> 87 -- Machine_9 (S: 0 , CT: 7272) 
       660 -> 27 -- Machine_10 (S: 0 , CT: 8466) 
       660 -> 95 -- Machine_11 (S: 0 , CT: 8365) 
       660 -> 99 -- Machine_12 (S: 0 , CT: 7648) 
       660 -> 73 -- Machine_13 (S: 0 , CT: 8031) 
       660 -> 30 -- Machine_14 (S: 0 , CT: 7203) 
       660 -> 37 -- Machine_15 (S: 0 , CT: 8021) 
       660 -> 54 -- Machine_16 (S: 0 , CT: 7504) 
       660 -> 15 -- Machine_17 (S: 0 , CT: 8588) 
       660 -> 18 -- Machine_18 (S: 0 , CT: 8810) 
       660 -> 75 -- Machine_19 (S: 0 , CT: 7603) 
       660 -> 56 -- Machine_20 (S: 0 , CT: 8331) 
       660 -> 97 -- Machine_21 (S: 0 , CT: 8041) 
       660 -> 36 -- Machine_22 (S: 0 , CT: 7864) 
       660 -> 79 -- Machine_23 (S: 0 , CT: 7886) 
       660 -> 33 -- Machine_24 (S: 0 , CT: 8826) 
GLOBALTIME -> ID  -- Machines Assigned
       720 -> 58 -- Machine_0 (S: 0 , CT: 8498) 
       720 -> 98 -- Machine_1 (S: 0 , CT: 8057) 
       720 -> 55 -- Machine_2 (S: 0 , CT: 7594) 
       720 -> 91 -- Machine_3 (S: 0 , CT: 8466) 
       720 -> 68 -- Machine_4 (S: 0 , CT: 8115) 
       720 -> 72 -- Machine_5 (S: 0 , CT: 9029) 
       720 -> 57 -- Machine_6 (S: 0 , CT: 7446) 
       720 -> 92 -- Machine_7 (S: 0 , CT: 8598) 
       720 -> 59 -- Machine_8 (S: 0 , CT: 7383) 
       720 -> 87 -- Machine_9 (S: 0 , CT: 7272) 
       720 -> 27 -- Machine_10 (S: 0 , CT: 8466) 
       720 -> 95 -- Machine_11 (S: 0 , CT: 8365) 
       720 -> 99 -- Machine_12 (S: 0 , CT: 7648) 
       720 -> 73 -- Machine_13 (S: 0 , CT: 8031) 
       720 -> 30 -- Machine_14 (S: 0 , CT: 7203) 
       720 -> 37 -- Machine_15 (S: 0 , CT: 8021) 
       720 -> 54 -- Machine_16 (S: 0 , CT: 7504) 
       720 -> 15 -- Machine_17 (S: 0 , CT: 8588) 
       720 -> 18 -- Machine_18 (S: 0 , CT: 8810) 
       720 -> 75 -- Machine_19 (S: 0 , CT: 7603) 
       720 -> 56 -- Machine_20 (S: 0 , CT: 8331) 
       720 -> 97 -- Machine_21 (S: 0 , CT: 8041) 
       720 -> 36 -- Machine_22 (S: 0 , CT: 7864) 
       720 -> 79 -- Machine_23 (S: 0 , CT: 7886) 
       720 -> 33 -- Machine_24 (S: 0 , CT: 8826) 
GLOBALTIME -> ID  -- Machines Assigned
       780 -> 58 -- Machine_0 (S: 0 , CT: 8498) 
